Subject,Sex,YOB,Marital Status,Sexual Orientation,Education,Race,Neighborhood,State,Income,Children,Grandchildren,Child 1,Child 2,Child 3,Child 4,Child 5,Encourage,Custody1,Vote,Party,National,State.2,Local,No Participation,Federal Legislators,State Legislators,Local Government,Grassroots,Town Meetings,Special Events,Public Spokesperson,Active Lobbier,Active Campaigning,Public Office,Space,Environment,Health,Big Cities,Crime,Drug Addiction,Blacks,Military,Foreign Aid,Welfare,Highways,Social Security,Mass Transportation,Parks,The Arts,Aids,The Homeless,Education.2,Banks,Companies,Religion,Educ,Exec,Labor,The Press,Medicine,Television
1053,Female,1925,Live with Lover,Heterosexual,Professional or Technical School,White,Suburb,California,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,No Response,Too Little,Too Much,Right Amount,Too Much,The Right Amount,The Right Amount,No Response,The Right Amount,Too Much,The Right Amount,The Right Amount,No Response,Too Little,Too Little,5,4,6,3,2,4,6,3,7
1054,Female,1947,Married Legally,Heterosexual,Some College,White,Secluded Rural,Oklahoma,"$60,001 - $70,000",Yes,No,Group for 903,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Much,Too Little,Too Much,Too Much,Too Much,Too Much,Too Much,Don't Know,Too Little,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,4,4,7,5,7,4,4,3,4
1055,Female,1936,No Response,Heterosexual,High School Diploma,White,Large Town,Texas,"$70,001 - $100,000",Yes,No,Group for 208,Group for 102,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,The Right Amount,Too Little,The Right Amount,Right Amount,Too Little,Right Amount,Too Much,Too Much,Too Much,Too Much,The Right Amount,The Right Amount,Too Much,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Too Little,6,7,7,3,3,6,6,6,6
1056,Female,1944,Married Legally,No Response,Some College,White,Small Town,Canada,"$20,001 - $30,000",Yes,No,Group for 215,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Not a US Citizen,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Right Amount,Too Much,Too Much,Too Much,Too Little,Don't Know,The Right Amount,Too Little,The Right Amount,The Right Amount,Too Little,Too Little,6,6,4,2,5,7,4,6,4
1057,Female,1934,Married Legally,Bisexual,Post-Graduate Degree,White,Suburb,Washington,"$50,001 - $60,000",Yes,No,Group for 207,Group for 205,Group for 0,0,0,Yes,Not a single parent,Yes,Democrat,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,The Right Amount,Too Little,Too Little,Too Little,Right Amount,Right Amount,Don't Know,Too Much,The Right Amount,Don't Know,The Right Amount,The Right Amount,Too Little,The Right Amount,The Right Amount,Too Little,The Right Amount,The Right Amount,4,5,5,2,4,4,5,3,6
1058,Female,1950,Never Married,Heterosexual,Some College,White,Metropolitan Area,Washington,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Too Much,Too Much,Don't Know,The Right Amount,Don't Know,The Right Amount,The Right Amount,The Right Amount,Too Little,Don't Know,Too Little,9,9,6,3,7,9,7,4,7
1059,Male,1953,Never Married,Heterosexual,Professional or Technical School,White,Large Town,Florida,"$50,001 - $60,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,The Right Amount,Too Little,The Right Amount,Right Amount,Too Much,Right Amount,Right Amount,Too Much,Too Much,Don't Know,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,7,7,7,4,7,7,7,3,6
1060,Male,1938,Married Ritually,Gay,Some College,White,Small Town,Maryland,"$70,001 - $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Republican,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Much,Too Much,Too Much,Too Little,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,7,7,7,4,7,7,7,7,7
1061,Female,1938,Married Legally,Heterosexual,College Diploma,White,Suburb,Florida,"$60,001 - $70,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,The Right Amount,Too Little,Too Little,Don't Know,Too Little,Too Little,Right Amount,Too Much,The Right Amount,The Right Amount,Too Little,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,5,6,6,5,4,4,5,4,7
1062,Male,1935,Married Ritually,Heterosexual,Professional or Technical School,White,Metropolitan Area,Texas,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Don't Know,Too Little,Too Little,Don't Know,Right Amount,Too Much,Too Much,The Right Amount,Too Much,Too Much,The Right Amount,Too Much,Too Little,Too Little,Too Little,The Right Amount,Too Little,Too Little,7,4,7,5,7,7,4,7,3
1063,Female,1950,Never Married,Heterosexual,High School Diploma,White,Metropolitan Area,Texas,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Much,Too Much,The Right Amount,Don't Know,Too Much,Don't Know,Don't Know,Too Little,Too Little,Too Little,Too Little,3,3,6,6,9,9,4,7,2
1064,Female,1940,Live with Lover,Heterosexual,Post-Graduate Work,White,Suburb,California,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Right Amount,Right Amount,Right Amount,Too Much,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,The Right Amount,The Right Amount,Too Little,2,2,2,2,3,3,4,3,3
1065,Female,1915,Married Legally,Heterosexual,College Diploma,White,Secluded Rural,North Carolina,"$60,001 - $70,000",Yes,No,Group for 127,Group for 0,Group for 0,0,0,Yes,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,The Right Amount,Too Little,Too Little,Too Much,Don't Know,Don't Know,Don't Know,Too Much,Too Much,Don't Know,Don't Know,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,The Right Amount,6,6,5,4,4,6,5,5,5
1066,Female,1948,Married Legally,Bisexual,Some College,White,Large Town,Illinois ,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Too Much,Too Little,Too Little,Don't Know,Don't Know,Too Little,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Too Little,Too Little,Too Little,4,5,2,5,4,4,5,6,6
1067,Female,1947,Married Legally,Bisexual,Some College,White,Suburb,California,"$20,001 - $30,000",Yes,No,Group for 208,Group for 206,Group for 0,0,0,No Response,Not a single parent,Yes,Green Party,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Too Much,Too Little,No Response,Don't Know,Too Little,Too Much,Don't Know,Too Much,Too Much,Too Much,Too Little,Don't Know,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,5,5,7,6,7,3,5,5,6
1068,Female,1941,Group Marriage,Heterosexual,Some College,White,Small Town,New Jersey,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Too Much,Too Much,Too Much,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Too Little,Too Little,Too Little,7,7,7,7,7,7,7,7,7
1069,Male,1916,Married Legally,Heterosexual,Post-Graduate Work,White,Rural Community,North Carolina,"$50,001 - $60,000",Yes,Yes,Group for 235,Group for 133,Group for 232,231,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,The Right Amount,Too Much,The Right Amount,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,The Right Amount,The Right Amount,3,3,6,4,4,7,5,5,5
1070,Female,1930,Never Married,Heterosexual,Some College,White,Suburb,New Mexico,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Don't Know,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,4,6,7,6,4,6,5,6,6
1071,Female,1944,Live with Lover,Bisexual,Some College,White,Metropolitan Area,Michigan,"$70,001 - $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Right Amount,Right Amount,Right Amount,Too Much,The Right Amount,The Right Amount,Too Little,The Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,4,4,4,4,4,5,5,4,6
1072,Female,1940,Never Married,Heterosexual,College Diploma,White,Metropolitan Area,New York,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,Too Little,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,4,4,4,3,3,4,5,3,6
1073,Male,1938,Never Married,Heterosexual,Professional or Technical School,Asian,Metropolitan Area,Washington,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Republican,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Don't Know,Don't Know,The Right Amount,Don't Know,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,4,7,6,6,7,6,5,4,4
1074,Female,1955,Never Married,Heterosexual,Less Than High School,White,Large Town,California,"Less than $10,000",Yes,No,Group for 201,Group for 0,Group for 0,0,0,Yes,No Response,No,Not Registered,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Right Amount,Right Amount,Too Much,Too Much,Too Much,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,The Right Amount,Too Little,5,6,7,4,7,5,5,6,5
1075,Female,1926,Married Legally,Heterosexual,College Diploma,White,Rural Community,Maryland,"$70,001 - $100,000",Yes,Yes,Group for 227,Group for 125,Group for 220,113,0,Yes,Not a single parent,Yes,Democrat,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Right Amount,Right Amount,Right Amount,Too Much,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Much,The Right Amount,Too Much,Too Much,6,6,7,6,5,6,5,7,7
1076,Male,1938,Married Legally,Heterosexual,College Diploma,White,Suburb,California,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Don't Know,Don't Know,The Right Amount,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,5,4,7,6,6,5,6,7,7
1077,Female,1953,Never Married,Heterosexual,Some College,White,Suburb,Georgia,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Don't Know,The Right Amount,Don't Know,Too Much,Don't Know,Don't Know,Too Little,Don't Know,Don't Know,Too Little,Too Little,Too Little,4,5,6,3,2,4,3,3,6
1078,Male,1949,Married Ritually,Heterosexual,Some College,White,Suburb,Ohio,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,No,Not Registered,No,No,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,The Right Amount,Too Much,Too Much,Too Little,Too Much,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,6,6,5,6,3,6,5,6,6
1079,Female,1940,Never Married,Heterosexual,College Diploma,White,Rural Community,New York,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Republican,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Don't Know,Too Little,Don't Know,Too Much,Don't Know,Too Much,Too Much,Too Much,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,4,7,7,6,6,6,7,6,7
1080,Female,1933,Married Legally,Bisexual,College Diploma,White,Metropolitan Area,California,"$70,001 - $100,000",Yes,No,Group for 102,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Green Party,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,9,9,9,9,9,9,9,9,9
1081,Male,1924,Married Ritually,Heterosexual,Post-Graduate Degree,White,Metropolitan Area,Texas,"$10,000 - $20,000",Yes,No,Group for 225,Group for 0,Group for 0,0,0,No,No Children/Children Grown,Yes,Libertarian Party,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Much,Too Little,Too Much,Too Much,3,4,5,7,7,7,6,5,4
1082,Female,1951,Never Married,Bisexual,College Diploma,White,Small Town,California,No Response,No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Too Much,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Too Much,Don't Know,Don't Know,Don't Know,Don't Know,Too Little,Too Little,Too Little,Don't Know,Don't Know,Too Little,9,6,9,9,9,9,7,9,7
1083,Female,1931,Live with Lover,Bisexual,Professional or Technical School,White,Large Town,California,"$10,000 - $20,000",Yes,No,Group for 123,Group for 220,Group for 0,0,0,Yes,No Children/Children Grown,Yes,Democrat,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No Response,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,No Response,Too Little,Don't Know,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,6,5,6,6,5,5,6,5,6
1084,Male,1931,Married Legally,Bisexual,College Diploma,White,Suburb,Arizona,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Don't Know,Don't Know,Don't Know,Don't Know,The Right Amount,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,5,5,6,3,3,4,4,4,6
1085,Male,1928,Live with Lover,Heterosexual,Professional or Technical School,White,No Response,Missouri,"$70,001 - $100,000",Yes,No,Group for 921,Group for 913,Group for 0,0,0,Yes,Joint Custody,Yes,Independent,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Little,Too Much,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,6,6,4,4,6,4,4,4,4
1086,Male,1949,Married Legally,Heterosexual,College Diploma,White,Suburb,Illinois,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,The Right Amount,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Little,Too Little,Too Much,The Right Amount,Too Little,Too Little,Don't Know,Too Little,Too Little,6,5,6,4,4,6,4,5,6
1087,Female,1949,Married Legally,Heterosexual,College Diploma,White,Suburb,Illinois,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,Don't Know,Too Much,The Right Amount,Too Little,Too Little,Don't Know,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,3,4,5,4,2,4,5,3,6
1088,Male,1954,Never Married,No Response,Some College,White,Suburb,Illinois,"$60,001 - $70,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,Don't Know,Don't Know,Too Much,The Right Amount,Don't Know,Don't Know,Too Little,Too Little,Too Little,7,7,7,7,7,7,7,7,7
1089,Female,1934,Married Legally,Bisexual,Professional or Technical School,N/A,Suburb,South Carolina,"$30,001 - $40,000",Yes,No,Group for 212,Group for 206,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,The Right Amount,The Right Amount,Too Much,Right Amount,Right Amount,Too Much,Right Amount,Too Much,Too Much,The Right Amount,Too Little,Too Much,Too Little,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,7,7,7,4,7,7,4,7,6
1090,Male,1935,Married Legally,Heterosexual,Some College,White,Metropolitan Area,Georgia,"$30,001 - $40,000",Yes,No,Group for 215,Group for 113,Group for 0,0,0,No,Not a single parent,No,No Response,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,The Right Amount,Too Little,Don't Know,Too Little,Don't Know,Too Little,Don't Know,Too Little,Too Much,Too Much,The Right Amount,The Right Amount,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,2,3,5,3,4,3,5,3,5
1091,Male,1933,Married Legally,Heterosexual,Professional or Technical School,White,Metropolitan Area,South Carolina,No Response,Yes,No,Group for 114,Group for 210,Group for 0,0,0,No Response,Not a single parent,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Too Much,Too Little,No Response,Too Much,Right Amount,Too Much,Right Amount,Too Much,Too Much,Too Much,Don't Know,Too Little,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,The Right Amount,4,6,7,6,7,7,7,5,7
1092,Female,1936,Married Legally,Heterosexual,College Diploma,White,Suburb,Georgia,"$20,001 - $30,000",Yes,No,Group for 215,Group for 113,Group for 0,0,0,No,Not a single parent,Yes,Democrat,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Don't Know,Too Little,Don't Know,Don't Know,Don't Know,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Don't Know,The Right Amount,Too Much,Too Little,4,2,2,2,2,2,4,3,3
1093,Male,1953,Never Married,Gay,Professional or Technical School,White,Small Town,South Carolina,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Much,Too Little,The Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,7,7,7,7,7,6,6,3,2
1094,Female,1939,Divorced,Heterosexual,Some College,White,Small Town,South Carolina,"Less than $10,000",Yes,No,Group for 109,Group for 0,Group for 0,0,0,Yes,Joint Custody,Yes,Democrat,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,Too Little,Don't Know,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,4,5,6,4,5,5,3,3,2
1095,Male,1948,Married Ritually,Heterosexual,Less Than High School,White,Small Town,Georgia,"Less than $10,000",Yes,No,Group for 101,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Democrat,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Don't Know,Too Much,Too Much,Don't Know,Too Much,The Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,Too Little,4,7,7,4,4,4,5,4,6
1096,Male,1928,Never Married,Gay,Some College,White,Small Town,Georgia,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,No,Not Registered,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Don't Know,No Response,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,7,7,7,4,7,7,4,7,7
1097,Male,1954,Never Married,Gay,Some College,White,Small Town,South Carolina,"Above $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,No Response,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Too Much,Too Little,Too Little,Don't Know,Don't Know,Don't Know,Too Little,Don't Know,Too Much,The Right Amount,Don't Know,Don't Know,Don't Know,Don't Know,Too Little,Too Little,Don't Know,Don't Know,7,4,7,4,7,4,4,3,3
1098,Male,1966,Never Married,Bisexual,Some College,White,Large Town,Georgia,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,The Right Amount,Too Little,Too Little,Too Little,Too Little,Right Amount,Right Amount,Too Much,The Right Amount,Too Little,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,Too Little,The Right Amount,Too Little,6,5,7,5,5,4,2,3,2
1099,Male,1951,Never Married,Bisexual,Some College,Other,Large Town,South Carolina,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,Yes,Yes,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Too Much,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,The Right Amount,Too Little,Too Little,7,7,7,4,7,4,7,5,7
1100,Female,1952,Divorced,Heterosexual,High School Diploma,White,Rural Community,Georgia,"$40,001 - $50,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Don't Know,Too Little,Too Little,Don't Know,Too Little,Right Amount,Right Amount,Too Much,The Right Amount,Too Little,Too Much,Too Little,The Right Amount,Don't Know,Don't Know,Too Little,Too Little,The Right Amount,4,4,7,4,5,4,3,4,4
